Badge ID,BirthYear,BirthMonth,BirthDay,Age,City,State,Zip,Country,Division,Department,Year
S3903,1991,7,21,20,Davis,CA,95618,US,Fan Services,Registration,2012
S4328,1992,4,22,20,Sacramento,CA,95831,US,Fan Services,Registration,2012
S3629,1988,3,25,24,union city,CA,94587,US,Fan Services,Registration,2012
S2257,1988,9,27,23,Ontario,CA,91764,US,Fan Services,Registration,2012
S1311,1991,1,4,21,Sunnyvale,CA,94086,US,Fan Services,Registration,2012
S4895,1992,2,29,20,San Jose,CA,95112,US,Fan Services,Registration,2012
S0779,1989,3,26,23,Milpitas,CA,95035,US,Fan Services,Registration,2012
S3628,0,0,0,24,fremont,CA,94539,US,Fan Services,Registration,2012
S2261,1990,10,12,21,San Jose,CA,95123,US,Fan Services,Registration,2012
S0871,1991,12,6,20,Monte Sereno,CA,95030,US,Fan Services,Registration,2012
S0872,1973,12,20,38,Livermore,CA,94550,US,Extravaganzas,Cosplay,2012
S0563,1973,8,22,38,Livermore,CA,94550,US,Extravaganzas,Cosplay,2012
S3741,1972,8,30,39,Oakland,CA,94606,US,Fan Services,Swap Meet,2012
S2159,1967,8,21,44,Oakland,CA,94607,US,Fan Services,Swap Meet,2012
S1348,1986,7,20,25,San Jose,CA,95130,US,Fan Services,Swap Meet,2012
S2965,0,0,0,21,san jose,CA,95128,US,Fan Services,Swap Meet,2012
S3243,1986,6,28,25,Campbell,CA,95008,US,Fan Services,Swap Meet,2012
S5003,1971,11,4,40,Los Angeles,CA,90031,US,Fan Services,Swap Meet,2012
S0023,1985,1,14,27,Hayward,CA,94544,US,Communications,Marketing,2012
S0357,1972,12,7,39,San Jose,CA,95138,US,Communications,Communications,2012
S0618,1970,2,27,42,San Jose,CA,95138,US,Communications,Communications,2012
S0024,1986,8,22,25,Berkeley,CA,94709,US,Communications,Marketing,2012
S1895,1982,6,30,29,Irvine,CA,92602,US,Communications,Communications,2012
S0165,1983,6,26,28,Sacramento,CA,95825,US,Communications,Communications,2012
S0172,1975,7,12,36,Alameda,CA,94501,US,Communications,Artist Pool,2012
S2671,1983,9,18,28,Tacoma,WA,98443,US,Communications,Artist Pool,2012
S4583,1988,6,8,23,San Diego,CA,92111,US,Communications,Artist Pool,2012
S1149,1985,8,19,26,Thornton,CO,80260,US,Communications,Artist Pool,2012
S5081,0,0,0,0,Las Vegas,NV,89123,US,Communications,Artist Pool,2012
S2675,1988,9,1,23,San Francisco,CA,94132,US,Communications,Artist Pool,2012
S1150,1983,4,12,29,Turlock,CA,95382,US,Communications,Artist Pool,2012
S4584,1988,3,14,24,Cupertino,CA,95014,US,Communications,Artist Pool,2012
S0202,1986,6,20,25,San Jose,CA,95148,US,Communications,Artist Pool,2012
S0809,1982,12,16,29,pacifica,CA,94044,US,Communications,Design,2012
S4863,1981,1,14,31,San Francisco,CA,94110,US,Communications,Design,2012
S5154,1986,4,18,26,Pleasant Hill,CA,94523,US,Communications,Design,2012
S5107,1988,4,12,24,Alameda,CA,94501,US,Communications,Design,2012
S2572,1987,5,21,25,San Jose,CA,95132,US,Communications,Promotions,2012
S0251,1981,10,17,30,Cerritos,CA,90703,US,Communications,Awesome,2012
S2252,1989,2,9,23,North Highlands,CA,95660,US,Communications,Photography,2012
S0594,1982,9,5,29,San Leandro,CA,94579,US,Communications,Photography,2012
S3819,1989,4,7,23,antelope,CA,95843,US,Communications,Photography,2012
S4163,0,0,0,20,sacramento,CA,95838,US,Communications,Photography,2012
S4686,1987,9,20,24,North Highlands,CA,95660,US,Communications,Photography,2012
S0036,1987,5,20,25,San Jose,CA,95122,US,Communications,Photography,2012
S2348,1982,10,9,29,San Pablo,CA,94806,US,Communications,Photography,2012
S0544,1986,9,18,25,San Jose,CA,95148,US,Communications,Professional Registration,2012
S0141,1990,9,1,21,San Jose,CA,95111,US,Communications,Professional Registration,2012
S2273,1954,6,13,57,Concord,CA,94519,US,Communications,Professional Registration,2012
S3780,1976,5,26,35,San Mateo,CA,94403,US,Guest Relations,MusicFest,2012
S0040,1990,9,2,21,san jose,CA,95121,US,Communications,Professional Registration,2012
S1314,1969,1,5,43,Atascadero,CA,93422,US,Communications,Professional Registration,2012
S4078,1985,7,31,26,San Mateo,CA,94401,US,Communications,Promotions,2012
S2148,1979,9,26,32,san jose,CA,95112,US,Communications,Promotions,2012
S5283,1989,2,16,23,San Jose,CA,95131,US,Communications,Promotions,2012
S3492,1989,4,21,23,San Luis Obispo,CA,93405,US,Communications,Web Team,2012
S3489,1989,7,18,22,San Luis Obispo,CA,93405,US,Communications,Web Team,2012
S4285,1985,3,9,27,San Ramon,CA,94582,US,Communications,Web Team,2012
S5091,0,0,0,29,San Pedro,CA,90731,US,Communications,Public Relations,2012
S3562,0,0,0,23,San Luis Obispo,CA,93401,US,Communications,Publications,2012
S1576,1990,4,8,22,Danville,CA,94506,US,Communications,Publications,2012
S4530,0,0,0,22,Hayward,CA,94542,US,Communications,Publications,2012
S3140,1990,7,16,21,San Jose,CA,95132,US,Communications,Publications,2012
S2565,1987,1,27,25,Atascadero,CA,93422,US,Communications,Content,2012
S1083,1979,9,23,32,Campbell,CA,95008,US,Communications,Content,2012
S5152,1989,2,11,23,Stockton,CA,95210,US,Communications,Content,2012
S1823,1988,10,31,23,Nipomo,CA,93444,US,Communications,Content,2012
S4873,0,0,0,20,Newark,CA,94560,US,Communications,Content,2012
S4631,1987,8,5,24,Los Angeles,CA,90046,US,Communications,Content,2012
S4546,0,0,0,56,Sunnyvale,CA,94087,US,Communications,Content,2012
S4757,0,0,0,23,Palo Alto,CA,94303,US,Communications,Content,2012
S1925,1989,11,12,22,San Jose,CA,95148,US,Communications,Print,2012
S4379,1992,9,29,19,Richmond,CA,94805,US,Communications,Print,2012
S1064,1966,8,1,45,Sunnyvale,CA,94086,US,Communications,Print,2012
S5057,1992,11,2,19,Tulare,CA,93274,US,Communications,Print,2012
S4680,1991,5,26,20,Merced,CA,95340,US,Communications,Print,2012
S4531,1988,2,23,24,South Gate,CA,90280,US,Communications,Print,2012
S5054,0,0,0,28,manteca,CA,95336,US,Communications,Print,2012
S5199,0,0,0,23,Union City,CA,94587,US,Communications,Print,2012
S4806,0,0,0,20,Fremont,CA,94539,US,Communications,Print,2012
S5103,0,0,0,24,San Jose,CA,95131,US,Communications,Print,2012
S5055,1993,4,25,19,Merced,CA,95343,US,Communications,Print,2012
S5078,1992,3,19,20,Concord,CA,94521,US,Communications,Print,2012
S1238,1983,8,3,28,pleasanton,CA,94588,US,Programming,Programming,2012
S4253,0,0,0,31,San Jose,CA,95129,US,Programming,Programming,2012
S3347,1981,10,26,30,Redwood City,CA,94061,US,Programming,Programming,2012
S0710,1975,8,13,36,Santa Clara,CA,95051,US,Programming,Programming,2012
S0247,1985,4,18,27,Fremont,CA,94555,US,Programming,Programming,2012
S1270,1986,8,22,25,Campbell,CA,95008,US,Programming,Programming,2012
S1931,1967,9,25,44,Sacramento,CA,95831,US,Programming,Cosplay Gatherings,2012
S2456,1987,4,22,25,Sacramento,CA,95831,US,Programming,Cosplay Gatherings,2012
S3596,1992,7,28,19,Santa Rosa,CA,95401,US,Programming,Cosplay Gatherings,2012
S3597,1987,11,13,24,Stockton,CA,95204,US,Programming,Cosplay Gatherings,2012
S4849,0,0,0,23,Sacramento,CA,95841,US,Programming,Cosplay Gatherings,2012
S4813,1986,2,28,26,dixon,CA,95620,US,Programming,Cosplay Gatherings,2012
S4743,1949,11,27,62,Half Moon Bay,CA,94019,US,Programming,Cosplay Gatherings,2012
S4747,1993,7,7,18,Rohnert Park,CA,94928,US,Programming,Cosplay Gatherings,2012
S2457,1981,7,8,30,San Jose,CA,95126,US,Programming,Cosplay Gatherings,2012
S4851,1989,1,30,23,Montara,CA,94037,US,Programming,Cosplay Gatherings,2012
S3060,1981,3,17,31,Truckee,CA,96161,US,Programming,Cosplay Gatherings,2012
S2228,1985,9,5,26,San Jose,CA,95138,US,Programming,Cosplay Gatherings,2012
S4744,1992,5,22,19,Sebastopol,CA,95472,US,Programming,Cosplay Gatherings,2012
S4814,1990,5,30,21,Elk Grove,CA,95758,US,Programming,Cosplay Gatherings,2012
S4480,0,0,0,25,Sunnyvale,CA,94086,US,Programming,Cosplay Gatherings,2012
S2458,1982,1,20,30,North Hills,CA,91343,US,Programming,Cosplay Hangout,2012
S1928,1968,3,24,44,Wheatland,CA,95692,US,Programming,Cosplay Hangout,2012
S3638,1986,1,29,26,fort myers,FL,33905,US,Programming,Cosplay Hangout,2012
S4687,0,0,0,28,los angeles,CA,90013,US,Programming,Cosplay Hangout,2012
S5008,0,0,0,0,King City,CA,93930,US,Programming,Cosplay Hangout,2012
S4688,0,0,0,30,Canoga Park,CA,91303,US,Programming,Cosplay Hangout,2012
S2570,1989,6,18,22,Sacramento,CA,95815,US,Programming,Cosplay Hangout,2012
S4689,1991,3,17,21,Agoura Hills,CA,91301,US,Programming,Cosplay Hangout,2012
S4492,1981,1,20,31,Yuba City,CA,95993,US,Programming,Cosplay Hangout,2012
S4493,0,0,0,25,Yuba city,CA,95993,US,Programming,Cosplay Hangout,2012
S2434,1973,7,29,38,Fremont,CA,94555,US,Programming,Dance,2012
S1346,1976,10,30,35,San Jose,CA,95130,US,Programming,Dance,2012
S3996,1986,9,30,25,SANTA CLARA,CA,95050,US,Programming,Dance,2012
S1237,1978,4,10,34,San Pablo,CA,94806,US,Programming,Dance,2012
S4532,1989,11,10,22,San Jose,CA,95127,US,Programming,Dance,2012
S4412,1990,3,14,22,Sunnyvale,CA,94087,US,Programming,Dance,2012
S3769,0,0,0,37,Oakland,CA,94605,US,Programming,Dance,2012
S2328,1990,4,2,22,Fremont,CA,94555,US,Programming,Dance,2012
S3770,1972,8,1,39,Newark,CA,94560,US,Programming,Dance,2012
S4375,1992,3,28,20,San Jose,CA,95129,US,Programming,Dance,2012
S4705,0,0,0,0,San Francisco,CA,94134,US,Programming,Dance,2012
S5184,1983,7,11,28,Villa Park,CA,92861,US,Programming,Dance,2012
S2395,1981,1,17,31,San Francisco,CA,94118,US,Programming,Dance,2012
S0163,1982,6,20,29,Woodland,CA,95695,US,Programming,Games,2012
S0684,1985,7,7,26,Reno,NV,89509,US,Programming,Arcade,2012
S3751,1990,5,1,22,Clayton,CA,94517,US,Programming,Arcade,2012
S3190,1986,8,10,25,Campbell,CA,95008-0303,US,Programming,Arcade,2012
S4683,1991,2,25,21,SUNNYVALE,CA,94087-5539,US,Programming,Arcade,2012
S4665,0,0,0,23,Rancho Cordova,CA,95670,US,Programming,Arcade,2012
S4682,0,0,0,17,Sunnyvale,CA,94087,US,Programming,Arcade,2012
S4651,0,0,0,29,Santa Clara,CA,95051,US,Programming,Arcade,2012
S4718,1988,8,1,23,Orange,CA,92865,US,Programming,Arcade,2012
S3133,1990,10,4,21,Sacramento,CA,95833,US,Programming,Arcade,2012
S4024,1994,7,20,17,San Jose,CA,95123,US,Programming,Arcade,2012
S4650,1988,5,13,24,Fairfield,OH,45014,US,Programming,Arcade,2012
S3047,1992,2,9,20,Sunnyvale,CA,94086,US,Programming,Arcade,2012
S1850,1983,4,16,29,Sacramento,CA,95835,US,Programming,E-Gaming,2012
S1966,1986,2,6,26,Sacramento,CA,95825,US,Programming,E-Gaming,2012
S0182,1986,9,26,25,Hayward,CA,94545,US,Programming,E-Gaming,2012
S1209,1987,11,6,24,Milford,DE,19963,US,Programming,E-Gaming,2012
S3185,1991,6,5,20,Pinole,CA,94564,US,Programming,E-Gaming,2012
S3811,1989,6,1,22,San Jose,CA,95121,US,Programming,E-Gaming,2012
S5048,0,0,0,22,San Jose,CA,95148,US,Programming,E-Gaming,2012
S4883,0,0,0,28,San Francisco,CA,94112,US,Programming,E-Gaming,2012
S1926,1990,7,18,21,Milpitas,CA,95035,US,Programming,E-Gaming,2012
S4896,1990,6,19,21,Sacramento,CA,95826,US,Programming,E-Gaming,2012
S1948,1988,8,5,23,Sacramento,CA,95828,US,Programming,E-Gaming,2012
S3933,1988,6,12,23,Reno,NV,89502,US,Programming,E-Gaming,2012
S4899,1990,9,21,21,Sacramento,CA,95823,US,Programming,E-Gaming,2012
S5046,1993,6,13,18,Pinole,CA,94564,US,Programming,E-Gaming,2012
S4812,1992,8,9,19,Sacramento,CA,95834,US,Programming,E-Gaming,2012
S4055,1992,5,15,20,San Jose,CA,95117,US,Programming,E-Gaming,2012
S4891,1987,10,23,24,Castro Valley,CA,94546,US,Programming,E-Gaming,2012
S0015,1984,1,19,28,Sacramento,CA,95820,US,Programming,E-Gaming,2012
S3516,1987,8,22,24,Sacramento,CA,95825,US,Programming,E-Gaming,2012
S5045,1989,2,6,23,Vallejo,CA,94589,US,Programming,E-Gaming,2012
S5139,1993,5,5,19,San Diego,CA,92131,US,Programming,E-Gaming,2012
S1969,1984,12,3,27,Sacramento,CA,95831,US,Programming,E-Gaming,2012
S4809,1990,4,24,22,South San Francisco,CA,94080,US,Programming,E-Gaming,2012
S1859,1987,3,13,25,Sacramento,CA,95831,US,Programming,E-Gaming,2012
S4897,1986,9,19,25,Sacramento,CA,95825,US,Programming,E-Gaming,2012
S4811,1994,3,12,18,Sacramento,CA,95835,US,Programming,E-Gaming,2012
S1882,1982,3,8,30,Reno,NV,89511,US,Programming,E-Gaming,2012
S4893,1991,6,16,20,Sacramento,CA,95834,US,Programming,E-Gaming,2012
S4890,1983,8,15,28,Sacramento,CA,95825,US,Programming,E-Gaming,2012
S2939,1986,7,18,25,sacramento,CA,95831,US,Programming,E-Gaming,2012
S4818,0,0,0,21,Elk Grove,CA,95758,US,Programming,E-Gaming,2012
S4898,1989,12,29,22,Sacramento,CA,95838,US,Programming,E-Gaming,2012
S3010,1990,8,20,21,Berkeley,CA,94704,US,Programming,E-Gaming,2012
S4810,0,0,0,26,Rohnert Park,CA,94928,US,Programming,E-Gaming,2012
S5044,0,0,0,22,San Jose,CA,95133,US,Programming,E-Gaming,2012
S4889,0,0,0,28,Foster City,CA,94404,US,Programming,E-Gaming,2012
S4900,1991,12,26,20,Sacramento,CA,95831,US,Programming,E-Gaming,2012
S2248,1994,9,6,17,Pinole,CA,94564,US,Programming,E-Gaming,2012
S1196,1992,2,23,20,Pinole,CA,94564,US,Programming,E-Gaming,2012
S4056,1992,3,12,20,Daly City,CA,94015,US,Programming,E-Gaming,2012
S5047,0,0,0,21,Pinole,CA,94564,US,Programming,E-Gaming,2012
S3796,1984,7,12,27,San Francisco,CA,94132,US,Programming,E-Gaming,2012
S1391,1983,11,18,28,santa clara,CA,95051,US,Programming,Tabletop/Social Gaming,2012
S1286,1984,5,11,28,Santa Clara,CA,95051,US,Programming,Tabletop/Social Gaming,2012
S1048,1966,2,5,46,Stockton,CA,95206,US,Programming,Tabletop/Social Gaming,2012
S3362,1987,11,14,24,El Sobrante,CA,94803,US,Programming,Tabletop/Social Gaming,2012
S3642,1987,10,22,24,Santa Clara,CA,95054,US,Programming,Tabletop/Social Gaming,2012
S5013,0,0,0,20,San Jose,CA,95133,US,Programming,Tabletop/Social Gaming,2012
S5007,0,0,0,23,San Jose,CA,95112,US,Programming,Tabletop/Social Gaming,2012
S3868,1980,4,6,32,Sunnyvale,CA,94089,US,Programming,Tabletop/Social Gaming,2012
S5214,1986,5,16,26,san mateo,CA,94402-2446,US,Programming,Tabletop/Social Gaming,2012
S5262,0,0,0,20,oakland,CA,94602,US,Programming,Tabletop/Social Gaming,2012
S5132,1990,7,10,21,Lake Forest,CA,92630,US,Programming,Tabletop/Social Gaming,2012
S4118,1988,12,22,23,San Jose,CA,95135,US,Programming,Tabletop/Social Gaming,2012
S4708,1991,4,16,21,San Jose,CA,93175,US,Programming,Tabletop/Social Gaming,2012
S2173,1985,5,15,27,Chico,CA,95926,US,Programming,Tabletop/Social Gaming,2012
S5335,1982,11,11,29,Pacifica,CA,94044,US,Programming,Tabletop/Social Gaming,2012
S4061,1992,7,5,19,San Jose,CA,95122,US,Programming,Tabletop/Social Gaming,2012
S4108,1992,6,4,19,sanjose,CA,95148,US,Programming,Tabletop/Social Gaming,2012
S5334,0,0,0,27,pacifica,CA,94044,US,Programming,Tabletop/Social Gaming,2012
S4345,1992,2,14,20,Salinas,CA,93907,US,Programming,Tabletop/Social Gaming,2012
S4035,1965,12,7,46,Stockton,CA,95206,US,Programming,Tabletop/Social Gaming,2012
S4822,1988,4,11,24,Davis,CA,95618,US,Programming,Tabletop/Social Gaming,2012
S5336,1990,7,23,21,Pacifica,CA,94044,US,Programming,Tabletop/Social Gaming,2012
S3988,1990,3,21,22,Sunnyvale,CA,94087,US,Programming,Tabletop/Social Gaming,2012
S4046,1992,4,30,20,Hayward,CA,94541,US,Programming,Tabletop/Social Gaming,2012
S5321,1985,6,23,26,San Ramon,CA,94583,US,Programming,Tabletop/Social Gaming,2012
S5218,1992,3,10,20,San Jose,CA,95136,US,Programming,Tabletop/Social Gaming,2012
S4738,1991,1,13,21,Alameda,CA,94502,US,Programming,Tabletop/Social Gaming,2012
S4852,1987,7,25,24,Windsor,CA,95492,US,Programming,Tabletop/Social Gaming,2012
S0737,1987,4,21,25,Campbell,CA,95008,US,Programming,Tabletop/Social Gaming,2012
S4141,1993,11,4,18,Oakland,CA,94601,US,Programming,Tabletop/Social Gaming,2012
S5012,1989,11,22,22,Walnut Creek,CA,94598,US,Programming,Tabletop/Social Gaming,2012
S3922,0,0,0,20,San Jose,CA,95134,US,Programming,Tabletop/Social Gaming,2012
S4436,1989,6,15,22,Santa Clara,CA,95051,US,Programming,Tabletop/Social Gaming,2012
S2083,1991,9,27,20,Hayward,CA,94541,US,Programming,Tabletop/Social Gaming,2012
S5253,1983,4,10,29,Milpitas,CA,95035,US,Programming,Tabletop/Social Gaming,2012
S4732,1991,9,10,20,San Lorenzo,CA,95680,US,Programming,Tabletop/Social Gaming,2012
S5215,1993,7,18,18,San Jose,CA,95132,US,Programming,Tabletop/Social Gaming,2012
S3210,1987,8,23,24,San Jose,CA,95118,US,Programming,Tabletop/Social Gaming,2012
S5322,1993,4,12,19,San Jose,CA,95112,US,Programming,Tabletop/Social Gaming,2012
S4529,1982,7,26,29,San Jose,CA,95123,US,Programming,Tabletop/Social Gaming,2012
S5323,1994,1,20,18,San Jose,CA,95132,US,Programming,Tabletop/Social Gaming,2012
S4703,1995,4,4,17,"San Jose, CA",CA,95131-1516,US,Programming,Tabletop/Social Gaming,2012
S4877,1990,8,29,21,Sunnyvale,CA,94087,US,Programming,Tabletop/Social Gaming,2012
S3533,1985,7,27,26,Sunnyvale,CA,94086,US,Programming,Game Show,2012
S3974,1995,5,17,17,Santa Cruz,CA,95060,US,Programming,Game Show,2012
S0160,0,0,0,39,Long Beach,CA,90803,US,Programming,Karaoke,2012
S1431,1982,7,20,29,San Bernardino,CA,92407,US,Programming,Karaoke,2012
S0406,1984,1,29,28,Los Angeles,CA,90026,US,Programming,Karaoke,2012
S2123,1984,9,20,27,San Diego,CA,92109,US,Programming,Karaoke,2012
S3840,0,0,0,28,Los Angeles,CA,90038,US,Programming,Karaoke,2012
S3255,1988,1,11,24,Sunnyvale,CA,94087,US,Programming,Karaoke,2012
S3943,1989,7,16,22,Los Angeles,CA,90005,US,Programming,Karaoke,2012
S0405,1978,5,15,34,Las Vegas,NV,89121,US,Programming,Karaoke,2012
S4131,1989,4,22,23,Los Angeles,CA,90029,US,Programming,Karaoke,2012
