Badge ID,BirthYear,BirthMonth,BirthDay,Age,City,State,Zip,Country,Division,Department,Year
S0089,1969,5,24,42,San Jose,CA,95130,US,Executive Staff,Executive Staff,2012
S0386,1978,8,15,33,Hayward,CA,94545,US,Executive Staff,Executive Staff,2012
S0059,1975,2,14,37,Santa Clara,CA,95051,US,Executive Staff,Executive Staff,2012
S0066,1985,8,30,26,Foster City,CA,94404,US,Fan Services,Fan Services,2012
S0685,1983,8,21,28,Cupertino,CA,95014,US,Fan Services,Fan Services,2012
S2033,1976,6,18,35,Davis,CA,95618,US,Fan Services,Artist Alley,2012
S2034,1968,8,12,43,Davis,CA,95618-2511,US,Fan Services,Artist Alley,2012
S0011,1974,3,9,38,Cupertino,CA,95104,US,Fan Services,Artist Alley,2012
S0774,1987,2,21,25,san francisco,CA,94115,US,Fan Services,Artist Alley,2012
S5084,1988,2,22,24,san francisco,CA,94129,US,Fan Services,Artist Alley,2012
S1805,1972,8,26,39,San Jose,CA,95127,US,Fan Services,Artist Alley,2012
S3900,1960,11,4,51,San Jose,CA,95120,US,Fan Services,Artist Alley,2012
S3115,1981,6,30,30,San Jose,CA,95120,US,Fan Services,Artist Alley,2012
S4526,0,0,0,19,Davis,CA,95616,US,Fan Services,Artist Alley,2012
S3664,1992,5,1,20,San Jose,CA,95132,US,Fan Services,Artist Alley,2012
S0371,1951,12,12,60,Santa Clara,CA,95054,US,Fan Services,Art Gallery,2012
S0380,1978,6,10,33,san francisco,CA,94121,US,Fan Services,Dealers Room,2012
S3591,1977,12,28,34,Sacramento,CA,95831,US,Fan Services,Charity Auction,2012
S3479,1979,4,19,33,Sacramento,CA,95822,US,Fan Services,Charity Auction,2012
S4121,1996,8,2,15,Sacramento,CA,95822,US,Fan Services,Charity Auction,2012
S0505,1978,3,12,34,san jose,CA,95128,US,Fan Services,Charity Auction,2012
S0009,1972,8,2,39,Sacramento,CA,95820,US,Fan Services,Charity Auction,2012
S0599,1975,3,27,37,Campbell,CA,95008,US,Fan Services,Dealers Room,2012
S0280,1976,10,21,35,San Jose,CA,95136,US,Fan Services,Dealers Room,2012
S0221,1986,4,15,26,Tracy,CA,95376,US,Fan Services,Dealers Room,2012
S3015,1978,2,1,34,Campbell,CA,95008,US,Fan Services,Dealers Room,2012
S0771,1978,10,21,33,san jose,CA,95117,US,Fan Services,Dealers Room,2012
S3165,1969,3,20,43,Santa Rosa,CA,95407,US,Fan Services,Dealers Room,2012
S1029,1986,10,17,25,Sunnyvale,CA,94087,US,Fan Services,Dealers Room,2012
S1815,1989,3,25,23,Union City,CA,94587,US,Fan Services,Dealers Room,2012
S0334,1985,3,13,27,Roseville,CA,95678,US,Fan Services,Dealers Room,2012
S0220,1984,7,19,27,Tracy,CA,95376,US,Fan Services,Dealers Room,2012
S0307,1982,8,24,29,Los Altos,CA,94024,US,Fan Services,Dealers Room,2012
S0381,1979,12,28,32,Sunnyvale,CA,94086,US,Anime Resource Group,Information Technology,2012
S0270,1977,1,21,35,Sacramento,CA,95831,US,Fan Services,Registration,2012
S0494,1983,11,21,28,Sacramento,CA,95831,US,Fan Services,Registration,2012
S1389,1991,11,16,20,Daly City,CA,94015,US,Fan Services,Registration,2012
S0706,1991,8,15,20,Saratoga,CA,95070,US,Fan Services,Registration,2012
S0065,0,0,0,27,Milpitas,CA,95035,US,Fan Services,Registration,2012
S3068,1993,8,5,18,Daly City,CA,94015,US,Fan Services,Registration,2012
S1387,1991,9,26,20,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S4756,0,0,0,20,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S4885,1993,3,7,19,San Francisco,CA,94122,US,Fan Services,Registration,2012
S3222,1992,2,20,20,Millbrae,CA,94030,US,Fan Services,Registration,2012
S0719,1990,8,25,21,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S0783,1978,11,7,33,Daly City,CA,94015,US,Fan Services,Registration,2012
S5002,0,0,0,20,Sacramento,CA,95822,US,Fan Services,Registration,2012
S3911,1991,6,29,20,Milpitas,CA,95035,US,Fan Services,Registration,2012
S4750,1983,2,19,29,San Mateo,CA,94402,US,Fan Services,Registration,2012
S3772,1986,12,16,25,sacramento,CA,95818,US,Fan Services,Registration,2012
S0258,1989,3,27,23,Palo Alto,CA,94303,US,Fan Services,Registration,2012
S2737,1989,3,27,23,Palo Alto,CA,94303,US,Fan Services,Registration,2012
S5149,1993,10,3,18,San Francisco,CA,94112,US,Fan Services,Registration,2012
S5093,1985,11,18,26,SACRAMENTO,CA,95823,US,Fan Services,Registration,2012
S3784,1993,7,24,18,Mountain View,CA,94043,US,Fan Services,Registration,2012
S3782,0,0,0,24,Fremont,CA,94538,US,Fan Services,Registration,2012
S3970,1991,1,29,21,Merced,CA,95340,US,Fan Services,Registration,2012
S5038,1992,3,3,20,San Jose,CA,95121,US,Fan Services,Registration,2012
S1781,1994,6,3,17,Antioch,CA,94509,US,Fan Services,Registration,2012
S5181,0,0,0,22,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S2990,1991,10,30,20,south san francisco,CA,94080,US,Fan Services,Registration,2012
S5094,1990,7,19,21,Richmond,CA,94805,US,Fan Services,Registration,2012
S5180,0,0,0,18,San Francisco,CA,94124,US,Fan Services,Registration,2012
S4751,0,0,0,44,Richmond,CA,94803,US,Clockwork Alchemy,CA Registration,2012
S0739,1989,5,23,22,Pacifica,CA,94044,US,Fan Services,Registration,2012
S4354,0,0,0,14,Pacifica,CA,94044,US,Fan Services,Registration,2012
S4667,0,0,0,21,San Jose,CA,95127,US,Fan Services,Registration,2012
S1493,1992,9,3,19,Pittsburgh,PA,15224,US,Fan Services,Registration,2012
S4053,1992,5,29,19,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S4727,2011,11,20,0,Fremont,CA,94536,US,Fan Services,Registration,2012
S4753,0,0,0,52,Richmond,CA,94803,US,Clockwork Alchemy,CA Registration,2012
S2627,1991,11,11,20,san jose,CA,95148,US,Fan Services,Registration,2012
S1890,1987,1,14,25,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S2397,1991,8,16,20,San Jose,CA,95111,US,Fan Services,Registration,2012
S5099,1986,10,4,25,Elk Grove,CA,95757,US,Fan Services,Registration,2012
S4067,1993,5,15,19,Elk Grove,CA,95758,US,Fan Services,Registration,2012
S4068,1993,8,29,18,Citrus Heights,CA,95610,US,Fan Services,Registration,2012
S1892,1991,10,24,20,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S5001,1992,1,25,20,Sacramento,CA,95831,US,Fan Services,Registration,2012
S5182,0,0,0,21,oakland,CA,94601,US,Fan Services,Registration,2012
S3905,1990,3,18,22,Davis,CA,95616,US,Fan Services,Registration,2012
S3879,1992,4,27,20,Alamo,CA,94507,US,Fan Services,Registration,2012
S4690,1993,10,29,18,San Jose,CA,95116,US,Fan Services,Registration,2012
S0275,1980,2,22,32,Fremont,CA,94536,US,Fan Services,Registration,2012
S4754,1991,5,2,21,South San Francisco,CA,94080,US,Fan Services,Registration,2012
S1397,1992,1,2,20,Sacramento,CA,95831,US,Fan Services,Registration,2012
S3074,1992,10,10,19,San Jose,CA,95148,US,Fan Services,Registration,2012
S4050,0,0,0,17,San Jose,CA,95122,US,Fan Services,Registration,2012
S2836,1987,11,23,24,Fremont,CA,94539,US,Fan Services,Registration,2012
S3241,1991,5,15,21,San Jose,CA,95122,US,Fan Services,Registration,2012
S0646,1989,8,18,22,San Jose,CA,95138-1528,US,Fan Services,Registration,2012
S1597,1992,2,12,20,Daly City,CA,94014,US,Fan Services,Registration,2012
S4579,0,0,0,19,San Jose,CA,95127,US,Fan Services,Registration,2012
S4042,0,0,0,23,Sunnyvale,CA,94085,US,Fan Services,Registration,2012
S4894,0,0,0,18,Daly City,CA,94015,US,Fan Services,Registration,2012
S3990,1988,7,19,23,Sunnyvale,CA,94085,US,Fan Services,Registration,2012
S1629,1991,11,23,20,San Jose,CA,95132,US,Fan Services,Registration,2012
S5138,1992,10,18,19,Davis,CA,95618,US,Fan Services,Registration,2012
S0162,1985,12,18,26,San Jose,CA,95132,US,Fan Services,Registration,2012
S1313,1978,1,12,34,Woodland,CA,95695,US,Fan Services,Registration,2012
S1596,1991,12,11,20,San Francisco,CA,94112,US,Fan Services,Registration,2012
S5016,1993,7,3,18,Daly City,CA,94015,US,Fan Services,Registration,2012
S4069,1992,4,21,20,San Francisco,CA,94133,US,Fan Services,Registration,2012
